municipality_mapped,svi_raw,svi_norm,hazard_mean,hazard_sd,hazard_q025,hazard_q975,risk_mean,risk_sd,risk_q025,risk_q975
abasha,0.31059552,0.567278381,0.193896896,0.003360619,0.186899434,0.200371687,0.333070359,0.002829563,0.327143569,0.338486767
adigeni,0.338295967,0.577560004,0.101449693,0.004032995,0.091991089,0.10843183,0.245854898,0.004655641,0.23479764,0.253791218
ambrolauri,0.20768295,0.529080142,0.190115059,0.004510367,0.181813725,0.198715622,0.318427087,0.003703622,0.311563322,0.325431733
aspindza,0.116081322,0.495080206,0.123597111,0.003605777,0.115910606,0.130255893,0.249740095,0.003514468,0.242180401,0.256158741
axalcixe,-0.238345087,0.363527136,0.149510826,0.003665521,0.141568901,0.156432619,0.234077314,0.002809767,0.227939273,0.23933331
axalqalaqi,-0.109264889,0.411438059,0.1284312,0.003828675,0.120069054,0.135512356,0.231513928,0.003348125,0.224128276,0.237637729
axmeta,0.280538878,0.556122204,0.13135276,0.002573187,0.126170301,0.136104445,0.272871528,0.002577083,0.267649115,0.277598627
bagdadi,0.193402766,0.523779741,0.13674065,0.003344165,0.130232444,0.143127329,0.269851772,0.003190934,0.263593197,0.275895551
batumi,-0.994707004,0.082786962,0.396566426,0.00497766,0.387165484,0.405956772,0.1842232,0.001188827,0.181968171,0.186457031
bolnisi,-0.314800728,0.335148963,0.323465636,0.001936391,0.319532421,0.327256447,0.32925558,9.85E-04,0.327250312,0.331179883
borjomi,-0.260928116,0.355144954,0.089179866,0.004342869,0.079735562,0.09682461,0.180256445,0.004186887,0.171015157,0.18750055
cageri,0.156528369,0.510093007,0.217088989,0.004716806,0.208112589,0.22612435,0.333649035,0.003570551,0.326806817,0.340437759
chiatura,0.305194306,0.565273603,0.262648633,0.003749268,0.2557687,0.269453291,0.386030492,0.002723619,0.381011148,0.390951495
choxatauri,-0.086347063,0.419944509,0.215284431,0.004794247,0.206411046,0.224401986,0.301205455,0.003313522,0.29503236,0.307458417
chxorowyu,0.226919191,0.536220091,0.29227179,0.004550812,0.284000226,0.300704541,0.396322011,0.00305904,0.390735362,0.401962453
dedofliswyaro,0.323935018,0.572229625,0.308869443,0.001960072,0.305051117,0.312448266,0.420875253,0.001324655,0.418289731,0.42328851
dmanisi,0.427299283,0.61059552,0.175028136,0.005111016,0.163289569,0.183726851,0.3288297,0.004699844,0.317937083,0.336736234
dusheti,1.476421373,1,0.106302987,0.003913373,0.097973619,0.113108705,0.332684289,0.005790392,0.320232274,0.34261848
gardabani,-0.206063645,0.375509095,0.371687965,0.001662752,0.368335164,0.374810817,0.373592863,8.36E-04,0.371905285,0.375159798
gori,-0.095067572,0.416707702,0.27616412,0.002916064,0.270278899,0.281657797,0.33943564,0.001780689,0.33582823,0.342778441
gurjaani,-0.151268988,0.395847324,0.334600427,0.001524556,0.331593045,0.33748493,0.363971226,8.27E-04,0.362336707,0.365534059
