species,latitude,longitude,date,month_name,source
Aedes aegypti,41.6045,41.6307,8/5/2014,August,GBIF
Aedes aegypti,42.179335,42.970747,8/4/2016,August,GBIF
Aedes aegypti,43.107149,41.167678,8/4/2016,August,GBIF
Aedes aegypti,42.29763,44.752941,8/4/2016,August,GBIF
Aedes aegypti,42.125615,44.019696,8/4/2016,August,GBIF
Aedes aegypti,41.966948,42.15628,8/4/2016,August,GBIF
Aedes aegypti,41.54343,43.329861,8/4/2016,August,GBIF
Aedes aegypti,41.767433,45.773121,8/4/2016,August,GBIF
Aedes aegypti,42.673345,43.142596,8/4/2016,August,GBIF
Aedes aegypti,41.717593,44.824596,6/30/2017,June,GBIF
Aedes aegypti,41.499874,44.500634,4/26/2018,April,GBIF
Aedes aegypti,41.648434,42.088157,4/26/2018,April,GBIF
Aedes aegypti,42.69551,42.249841,4/26/2018,April,GBIF
Aedes aegypti,41.737346,45.347026,8/28/2019,August,VectorMap_Mosquitoes
Aedes aegypti,41.91667,45.48333,9/21/2021,September,VectorMap_Mosquitoes
Aedes aegypti,43.09,40.82,NA,NA,GBIF
Aedes aegypti,43.10186,40.618588,NA,NA,GBIF
Aedes aegypti,43.00154,41.023415,NA,NA,GBIF
Aedes albopictus,41.6272,41.6171,8/5/2014,August,GBIF
Aedes albopictus,41.6342,41.6186,8/5/2014,August,GBIF
Aedes albopictus,41.6245,41.6101,8/5/2014,August,GBIF
Aedes albopictus,41.6002,41.6145,8/5/2014,August,GBIF
Aedes albopictus,41.5989,41.6041,8/5/2014,August,GBIF
Aedes albopictus,41.6312,41.6113,8/5/2014,August,GBIF
Aedes albopictus,41.6045,41.6307,8/5/2014,August,GBIF
Aedes albopictus,41.6354,41.6481,8/6/2014,August,GBIF
Aedes albopictus,41.6354,41.6344,8/6/2014,August,GBIF
Aedes albopictus,41.644,41.6522,8/13/2014,August,GBIF
Aedes albopictus,41.6325,41.6381,8/13/2014,August,GBIF
Aedes albopictus,41.54343,43.329861,6/23/2016,June,GBIF
Aedes albopictus,42.29763,44.752941,7/12/2016,July,GBIF
Aedes albopictus,41.767433,45.773121,7/12/2016,July,GBIF
Aedes albopictus,41.499874,44.500634,7/12/2016,July,GBIF
Aedes albopictus,42.179335,42.970747,7/13/2016,July,GBIF
Aedes albopictus,42.125615,44.019696,7/13/2016,July,GBIF
Aedes albopictus,41.966948,42.15628,7/13/2016,July,GBIF
Aedes albopictus,42.673345,43.142596,7/15/2016,July,GBIF
Aedes albopictus,41.717593,44.824596,7/12/2017,July,GBIF
Aedes albopictus,42.69551,42.249841,4/26/2018,April,GBIF
Aedes albopictus,41.648434,42.088157,4/26/2018,April,GBIF
Aedes albopictus,41.753544,45.007344,5/29/2019,May,VectorMap_Mosquitoes
Aedes albopictus,41.751328,45.008319,5/31/2019,May,VectorMap_Mosquitoes
Aedes albopictus,41.912297,45.974335,9/1/2019,September,VectorMap_Mosquitoes
Aedes albopictus,41.74168,44.778234,9/13/2019,September,VectorMap_Mosquitoes
Aedes albopictus,41.692851,44.966098,9/30/2019,September,VectorMap_Mosquitoes
Aedes albopictus,41.806064,44.774873,10/5/2019,October,VectorMap_Mosquitoes
Aedes albopictus,41.549142,44.986552,10/5/2019,October,VectorMap_Mosquitoes
Aedes albopictus,41.753592,45.007213,6/16/2020,June,VectorMap_Mosquitoes
Aedes albopictus,42.714682,42.242519,9/1/2020,September,VectorMap_Mosquitoes
Aedes albopictus,42.716754,42.245614,9/1/2020,September,VectorMap_Mosquitoes
Aedes albopictus,42.716743,42.234624,9/4/2020,September,VectorMap_Mosquitoes
Aedes albopictus,41.676254,45.060931,9/17/2020,September,VectorMap_Mosquitoes
Aedes albopictus,41.752913,45.007943,9/29/2020,September,VectorMap_Mosquitoes
Aedes albopictus,41.750846,45.009226,9/29/2020,September,VectorMap_Mosquitoes
Aedes albopictus,41.752897,45.007872,10/1/2020,October,VectorMap_Mosquitoes
Aedes albopictus,41.584314,44.917435,10/8/2020,October,VectorMap_Mosquitoes
Aedes albopictus,41.582081,44.911024,10/9/2020,October,VectorMap_Mosquitoes
Aedes albopictus,41.980897,44.114388,10/20/2020,October,VectorMap_Mosquitoes
Aedes albopictus,41.58508,44.920062,5/6/2021,May,VectorMap_Mosquitoes
Aedes albopictus,42.716746,42.24556,5/19/2021,May,VectorMap_Mosquitoes
Aedes albopictus,42.036099,42.238929,5/19/2021,May,VectorMap_Mosquitoes
Aedes albopictus,42.04291,42.246415,5/19/2021,May,VectorMap_Mosquitoes
Aedes albopictus,42.716964,42.234681,5/20/2021,May,VectorMap_Mosquitoes
Aedes albopictus,42.714394,42.242482,5/21/2021,May,VectorMap_Mosquitoes
Aedes albopictus,42.042903,42.246347,6/1/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.980743,44.114506,6/3/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.603521,41.613483,6/16/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.639218,41.619537,6/16/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.574165,41.663581,6/17/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.750674,45.008546,6/29/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.675493,45.061016,6/29/2021,June,VectorMap_Mosquitoes
Aedes albopictus,41.752593,45.007878,7/1/2021,July,VectorMap_Mosquitoes
Aedes albopictus,41.675515,45.061231,7/1/2021,July,VectorMap_Mosquitoes
Aedes albopictus,41.670853,45.061525,7/1/2021,July,VectorMap_Mosquitoes
Aedes albopictus,41.750662,45.008605,7/2/2021,July,VectorMap_Mosquitoes
Aedes albopictus,43.11158,41.649266,7/28/2021,July,VectorMap_Mosquitoes
Aedes albopictus,41.91667,45.48333,9/21/2021,September,VectorMap_Mosquitoes
Aedes albopictus,43.107149,41.167678,2/17/2022,February,GBIF
Aedes albopictus,43.166,40.333,NA,NA,GBIF
Aedes albopictus,43.112,40.633,NA,NA,GBIF
Aedes albopictus,43.324,40.225,NA,NA,GBIF
Aedes albopictus,43.102364,40.618287,NA,NA,GBIF
Aedes albopictus,42.627403,41.736887,NA,NA,GBIF
Aedes albopictus,43.27952,40.27056,NA,NA,GBIF
Aedes albopictus,42.845523,41.177391,NA,NA,GBIF
Aedes albopictus,43.002904,41.022751,NA,NA,GBIF
Aedes albopictus,41.75771,41.747204,NA,NA,GBIF
Aedes albopictus,41.828547,44.757402,NA,NA,GBIF
Aedes albopictus,41.727864,44.727423,NA,NA,GBIF
Aedes albopictus,41.85202,46.109699,NA,NA,GBIF
Aedes albopictus,41.779581,44.749022,NA,NA,GBIF
Aedes albopictus,42.857068,41.75788,NA,NA,GBIF
Aedes albopictus,43.16,40.34,NA,NA,GBIF
Aedes albopictus,41.806127,44.774704,NA,NA,VectorMap_Mosquitoes
Aedes albopictus,41.806064,44.774873,NA,NA,VectorMap_Mosquitoes
Aedes caspius,41.75444,45.007073,5/30/2019,May,VectorMap_Mosquitoes
Aedes caspius,41.581333,44.911508,6/23/2020,June,VectorMap_Mosquitoes
Aedes caspius,41.583267,44.91575,6/23/2020,June,VectorMap_Mosquitoes
Aedes caspius,41.585199,44.919894,6/23/2020,June,VectorMap_Mosquitoes
Aedes caspius,41.634062,45.048166,6/30/2020,June,VectorMap_Mosquitoes
Aedes caspius,41.623408,45.041997,6/30/2020,June,VectorMap_Mosquitoes
Aedes caspius,41.674322,45.060391,6/30/2020,June,VectorMap_Mosquitoes
Aedes caspius,41.687744,45.054772,7/1/2020,July,VectorMap_Mosquitoes
Aedes caspius,41.633818,45.048612,7/1/2020,July,VectorMap_Mosquitoes
Aedes caspius,41.676209,45.062038,7/1/2020,July,VectorMap_Mosquitoes
Aedes caspius,41.673078,45.059237,7/2/2020,July,VectorMap_Mosquitoes
Aedes caspius,42.994573,41.634468,8/12/2020,August,VectorMap_Mosquitoes
Aedes caspius,42.71801,42.232213,9/1/2020,September,VectorMap_Mosquitoes
Aedes caspius,42.716992,42.23481,9/3/2020,September,VectorMap_Mosquitoes
Aedes caspius,42.712211,42.245164,9/3/2020,September,VectorMap_Mosquitoes
Aedes caspius,41.673673,45.060636,9/10/2020,September,VectorMap_Mosquitoes
Aedes caspius,41.677353,45.060045,9/17/2020,September,VectorMap_Mosquitoes
Aedes caspius,41.679619,45.055699,9/17/2020,September,VectorMap_Mosquitoes
Aedes caspius,41.750846,45.009226,9/29/2020,September,VectorMap_Mosquitoes
Aedes caspius,41.753246,45.007535,9/30/2020,September,VectorMap_Mosquitoes
Aedes caspius,41.75073,45.00866,10/1/2020,October,VectorMap_Mosquitoes
Aedes caspius,41.75201,45.007818,10/1/2020,October,VectorMap_Mosquitoes
Aedes caspius,41.581467,44.912272,10/6/2020,October,VectorMap_Mosquitoes
Aedes caspius,41.585184,44.920039,10/6/2020,October,VectorMap_Mosquitoes
