"region","municipality","population_total","healthcare_staff_per_1000","education_graduates_per_1000","child_dependency_ratio","old_age_dependency_ratio","disability_count","average_monthly_wage","disability_rate_per_1000","z_healthcare_staff_per_1000","z_education_graduates_per_1000","z_child_dependency_ratio","z_old_age_dependency_ratio","z_disability_rate_per_1000","z_average_monthly_wage","svi_composite"
"mcxeta-mtianeti","Dusheti",27179,4.66036654152719,8.10016089360679,29.4957122744144,114.61666453347,607,898.166038260201,22.3334191839288,0.640739397768638,0.902930939998973,0.730575274578539,6.31044050324579,-0.455543221372654,0.729385343775023,1.47642137299905
"adjara","Shuakhevi",14421,2.76204944068499,7.2503797817981,27.1307099070595,21.6136049040933,1204,709.090644427384,83.4893558005686,1.04933151284959,1.24917706893784,0.045497149990693,-0.471024610368938,3.28899182406682,1.12625724503316,1.04803836508486
"adjara","Khulo",28799,3.8,8.97474101211239,32.2447373598269,20.7292281461079,1309,853.79730387367,45.4529671169138,0.825923940852362,0.546580373633791,1.52689454087408,-0.535510339714505,0.960050460275332,0.822515939012442,0.691075819155584
"adjara","Keda",16299,4.41108898759381,9.67988972277531,28.1614829337849,21.2013189555298,1050,757.876705702433,64.4211301306829,0.694393680795778,0.259265195642126,0.344084610947244,-0.501087092056734,2.12145775909416,1.02385461875465,0.656994795529537
"racha","Lentekhi",3544,18.1209924728185,10.8725954836911,26.2074129539498,38.0007487832273,308,257.996009239136,86.9074492099323,-2.25651397319862,-0.226706717526442,-0.221957358218318,0.723869890639821,3.49827928278371,2.07311120569608,0.598347055029372
"imereti","Vani",18212,4.15766738660907,9.44924406047516,22.6854253112033,36.2357365145228,827,549.061601422045,45.409620030749,0.748939924891466,0.353242534768894,-1.24218326683461,0.595171230907337,0.9573963486348,1.46216044886415,0.479121203538672
"qvemo-qartli","Dmanisi",22415,5.39968951785272,5.84966364434045,33.5914485312684,27.5145189798838,390,1653.60723659543,17.3990631273701,0.481608165957697,1.81990349907071,1.91700085807178,-0.0407501322723973,-0.757670377012247,-0.856296317885964,0.42729928265493
"guria","Lanchkhuti",28245,5.56347823025053,8.38042923290903,24.2882865346246,28.9357146333155,1316,929.306537049463,46.5923172242875,0.446354426529591,0.788734676750688,-0.777877109651294,0.0628785954466133,1.02981206711376,0.664021000429802,0.368987276103194
"javaxeti","Adigeni",15556,7.18317085684967,8.78655720882504,28.7509238728751,23.3370288248337,431,642.573826500297,27.7063512471072,0.0977331999760519,0.623256487649266,0.514829933946167,-0.345358430771786,-0.126562364886794,1.26587697799379,0.338295967317783
"samegrelo","Martvili",29562,4.57473468220731,9.78858670972299,23.6675449544677,31.0174270789997,1457,910.705069288148,49.2862458561667,0.659170724390678,0.214976248247368,-0.957689393756179,0.214669949228331,1.194759425131,0.703065741931981,0.338158782528864
"kakheti","Dedoplis Tskaro",20057,6.52033248718332,8.71036782638993,27.2195640616693,33.9485076327182,416,720.489609503956,20.7408884678666,0.240401951839811,0.654300103902694,0.0712358293434783,0.428394321302193,-0.553052758584306,1.10233065759834,0.323935017567034
"samegrelo","Abasha",17200,6.31077708614211,9.6956484323456,24.2794333170493,31.6351455091074,654,606.870997117261,38.0232558139535,0.285506473365786,0.252844257226382,-0.780441650717603,0.259711865058907,0.505134455540923,1.34081771718944,0.31059551961064
"imereti","Chiatura",36311,4.71187694330681,8.90325585217856,26.7835141687532,31.7316481856842,1410,1312.57785786164,38.8312081738316,0.629652343871023,0.575707238846157,-0.0550761976503023,0.266748510274493,0.554604811061338,-0.14047087291752,0.305194305580865
"kakheti","Akhmeta",26188,5.20091870242773,11.1610956095894,32.0620819931587,28.5597590238423,788,1257.92055539568,30.0901176111196,0.524391422693272,-0.34425704949141,1.47398415153571,0.0354651978651795,0.019393975315106,-0.0257444291028006,0.280538878135843
"qvemo-qartli","Tsalka",20194,3.72837542254921,10.3400278385365,33.2820346670987,19.3908958367082,286,1026.77659794673,14.1626225611568,0.841340352356748,-0.00971026635751036,1.82737191193928,-0.633096955711714,-0.955835359729071,0.459429976712307,0.25491660986834
"mcxeta-mtianeti","Tianeti",11014,6.96193835020382,8.24440067787295,23.7656467315716,40.8379694019471,245,811.626674922965,22.2444161975667,0.145351091515344,0.844159962099929,-0.929271924748631,0.93075031717796,-0.460992811715299,0.911032680136971,0.240171552411046
"samegrelo","Chkhorotsku",20305,4.60660116145157,9.89929185758741,25.7061558748005,29.1206884586023,478,668.370170593582,23.5409997537552,0.652311811225528,0.169869069034975,-0.36715816835708,0.0763662543270087,-0.381603911240715,1.2117300902456,0.226919190872552
"racha","Oni",5246,14.0510775657458,5.31662394379569,19.7931227285435,51.5795359239586,207,1037.33656869387,39.4586351505909,-1.38050904265114,2.03709229077206,-2.08000620368236,1.71398862057227,0.593021724167532,0.437264450132188,0.220141973218424
"imereti","Kharagauli",17741,5.16476730477741,7.63487340706226,24.5012830063736,36.6857048257595,857,1923.3473176978,48.3061834169438,0.532172617954339,1.09251386767413,-0.716177711196614,0.62798138163833,1.13475089033586,-1.42248452811536,0.208126086381781
"racha","Ambrolauri",10043,12.5148986889154,8.54191497814859,19.9408928293669,54.0519520920827,554,1168.77189592993,55.1627999601713,-1.0498632426695,0.722936774925125,-2.03720114566649,1.89426875390645,1.55457670545173,0.1613798563982,0.20768295039092
"imereti","Baghdati",15404,6.25558534405719,11.3621856249202,24.5469161064016,33.1701256942414,724,976.137433922725,47.0007790184368,0.297385895735986,-0.426191842356298,-0.702959018895147,0.371637371779424,1.05482189588154,0.565722291629285,0.193402765629131
"kakheti","Lagodekhi",40109,6.14687803299903,10.3277505412737,28.4414271269681,22.0641340459338,1356,1021.45377116888,33.807873544591,0.320783962439548,-0.00470784091875938,0.425176979184367,-0.438173565787893,0.247029559911587,0.470602664710307,0.170118626589859
"kakheti","Sagarejo",51463,4.29301268478409,8.89683171778784,31.1636385017934,21.0119362615394,829,1317.32189113233,16.1086605911043,0.719808321102479,0.578324773683847,1.2137290284928,-0.514896230568268,-0.836680817978275,-0.150428665233083,0.16830940158325
"racha","Tsageri",6887,15.5060815136212,7.25513905683192,18.4794414274632,42.6842513576416,431,877.884934756821,62.5816756207347,-1.69368282181048,1.24723788656003,-2.46054464815622,1.06537488460975,2.00882925141273,0.771955664237327,0.156528369475522
"kakheti","Sighnaghi",28250,6.42473877435753,8.50748376164925,23.8702077532662,36.4853287641893,566,882.417192474,20.0353982300885,0.260977459111279,0.736965888142501,-0.898983384814679,0.61337064435123,-0.596249430334023,0.762442391776294,0.146420594705434
"javaxeti","Aspindza",10594,4.81904941887933,9.44911650760654,30.2668853436708,24.3775160280304,241,1492.31935938147,22.7487256937889,0.606584633817095,0.353294506607739,0.953963549918692,-0.269489661531722,-0.430114295469369,-0.517750803410442,0.116081321655332
"qvemo-qartli","Tetri Sqaro",23799,4.10486447599501,9.31000190431857,29.1632270168855,29.3883677298311,405,1480.63105610423,17.0175217446111,0.760305177261926,0.409977212539863,0.634263160973447,0.0958845115403779,-0.781031887898462,-0.493216891037785,0.104363547229894
"shida-qartli","Kareli",39511,5.38048626460373,9.52320808335965,28.1377186228138,23.3527664723353,1009,1212.03614564936,25.5371921743312,0.48574145741778,0.323105648635958,0.337200723718663,-0.344210895325881,-0.25937845137827,0.0705675899546928,0.10217101217049
"imereti","Khoni",18722,11.3483412947666,9.92320076007495,23.5707317073171,29.730081300813,896,775.154792072589,47.8581348146566,-0.798774447848484,0.160127307517274,-0.985733609994067,0.120801096754853,1.10731718911006,0.98758767333768,0.0985542014795533
